type,content & title
kind/task,Add Github identity provider automatically into the Keycloak server in time of launching of Eclipse Che Multi User Description useful Github identity provider automatically into Keycloak server time launching Eclipse Multi User compensate removal support CHE_OAUTH_GITHUB_CLIENTID CHE_OAUTH_GITHUB_CLIENTSECRET variables part issue 5943 Command github provider through Keycloak Admin kcadm create identity provider instances alias github providerId github enabled true storeToken true addReadTokenRoleOnCreate true config useJwksUrl true config clientId GITHUB_CLIENTID config clientSecret GITHUB_CLIENTSECRET config defaultScope repo user write public_key config server http localhost 8080 auth user admin name password admin password realm master Created provider observed Keycloak Administration Console version Eclipse 
kind/bug,Regression The Delete button on organization members tab doesn t appear if select a member by checkbox Reproduction Steps Create organization members select members checkbox delete them Observed behavior After checking member Delete button doesn appear version Che6 branch Chrome Fedora Related selenium test OrganizationMembersTest Additional information 
kind/task,Save ws agent logs of test workspaces which were used by failed selenium tests Description Sometimes need have agent logs investigate reasons selenium tests failures There parameters logging which could used setup storing agents host where testing Eclipse https github eclipse blob che6 assembly assembly wsagent server assembly setenv also borrow agent logs from workspace container before removal save into tests target directory failed tests execution command like follow docker exec docker grep machine home user agent logs archive date catalina 
kind/task,CHE6 branch Investigate the session unexpected deleted when running GitCompareTest on CI job Description When test suite running often have failing test GitCompareTest reason session deleted because page crash Need investigate report version version Fedora Docker version docker version install Docker container Additional information Related selenium test GitCompareTest Problem reliably reproduced doesn happen randomly 
kind/bug,Files are colored as changed during Git checkout if they are different in checkouted branch Description Files colored changed during checkout they different checkouted branch Reproduction Steps Clone project Eclipse Checkout other branch witch contains same files with changes Wrong such files colored edited during checkout operation version Diagnostics 
kind/task,Remove unnecessary item from the check list in ServerRuntimeInfoTest Description After changing servers list terminal item runtime info widget visible this moment should resize scroll this 
kind/bug,Git amend is disabled without commit message Description commit dialog there flag that allows amending changes previous commit case user didn provide message button that does commit disabled This supported very common approach would useful allow such flow Reproduction Steps version Diagnostics 
kind/enhancement,JavaScript endpoint for Dialog API Description Need give ability JavaScript show value confirmation error messages dialog from Dialog Factory class 
kind/question,Support for Openshift Origin Description current setup process Openshift https eclipse docs setup openshift index html mentions deployment compatibility Minishift However nothing mentioned about Openshift Origin afterall compatible with Origin plans Basically looking scalable topology where need spend Licenses 
kind/enhancement,Smart Tree should return Promise for setExpanded Tree Widget eclipse smartTree Tree expands Nodes asynchronously would nice return Promise from setExpanded methods since sometimes want something once expansion finished 
kind/bug,The reason of the warning line in tab is not explained Description opened some point yellow line where file name placed editor shows neither line warning marks mouse hovering Reproduction Steps version Diagnostics 
kind/bug,Git branches filter doesn t work after click on the dropdown filter Description branches filter doesn work after click dropdown filter Reproduction Steps Clone some project Click Branches Begin type some existed branch name activate branch filter Click branch dropdown filter with items Local Remote type some symbols Expected After click dropdown filter branch name typing should work should bring back focus branch list panel Actual result typing symbols branch name doesn work click branch list focus come back branch list filter typing works again version Fedora Diagnostics version 
kind/bug,Navigate to file doesn t work if mounted project is present Description Navigate file doesn work mounted project present Reproduction Steps Mount project Call Assistant Navigate file Ctrl Wrong dialog shown doesn propose anything Errors machine output version SNAPSHOT Diagnostics 
kind/docs,LS configuration doc and examples Finalization 7840 Prepare documentation with description from above about configure examples like provided please clean from unnecessary config like petclinic installers using configured images both machines eivantsov please help same second OpenShift with recipe 
kind/question,Unable to access eclipse che instance from another machine through proxy Description Unable access eclipse instance from another machine through proxy Machine docker docker sock docker sock data eclipse start fast Eclipse accessible from localhost 8080 Machine Browser access http 8080 Issue Dashboard shows unable bring workspace Chrome Devtools Network Requests will there http localhost 8080 which wrong localhost should replaced with address version Docker same result with latest version well Later tried same changing following vars CHE_HOST CHE_API http SERVER_PORT wsmaster CHE_DOCKER_IP CHE_DOCKER_IP_EXTERNAL CHE_SINGLE_PORT false Added following configuration NGINX http include mime types default_type application octet stream log_format main remote_addr remote_user time_local request status body_bytes_sent http_referer http_user_agent http_x_forwarded_for access_log logs access main http_upgrade connection_upgrade default upgrade close sendfile tcp_nopush keepalive_timeout keepalive_timeout gzip server listen 8000 server_name localhost location proxy_pass http 8080 proxy_http_version proxy_set_header Upgrade http_upgrade proxy_set_header Connection connection_upgrade Expected result Once this working want ultimately NGINX proxy front that communication goes through proxy 
kind/enhancement,Add ability to start Full Text search by click Enter key Description would nice ability start Full Text search Ctrl Shift click Enter nice behavior most cases 
kind/task,Implement supporting of compose based recipes by OpenShift infrastructure Description Implement supporting compose based recipes OpenShift infrastructure 
kind/enhancement,Suggestions for improved global search Description Open discussion before actually start implementing anything killer features VSCode global search including excluding specific folders giving list files with snippets think implement similar easy search Eclipse would enhance usability significantly think 5174 already helped there things that could improved pressing enter seach dialog should start search directly right need click search button offering search panel next file explorer like VSCode because searching most important features hard time finding Edit Find first time trying search even though ctrl shift sounds like common sense retrospect wouldn assume that users will first Reproduction Steps version Diagnostics 
kind/enhancement,Make it possible in easy way generate skeleton for JavaScript plugin Description Main task here provide ability developer create template JavaScript plugins Possibly easiest will http yeoman this 
kind/bug,New files can be not colored in yellow in Git projects Description Sometimes selenium test GitColorsTest fails when test creates file expects colored yellow file doesn change color Reproduction Steps reproduced locally need find reproduce locally version Diagnostics 
kind/enhancement,JavaScript endpoint for Editor API Description need provide ability JavaScript Plugins start need only basic functionality like document cursor position This should work editor dependence will switch Monaco 
kind/task,Switch IDE LSP stuff to use URIs instead of paths Currently language server related services workspace paths asdf main java Java instead URIs like proper converting those paths file language servers file projects asdf main java This does work anymore once have that represent stuff that workspace example class java lang Object editor that class will likely display attached source from installation Currently stuff like hover documentation will fail such editor because cannot convert path file proposal URIs instead paths related communication between workspace agent There really only cases covered workspace path hand prefix with chewksp mark workspace path other cases should dealing with that been passed language server pass unchanged 
kind/enhancement,JavaScript endpoint for Project File management Description Here need provide ability Project File management project project config create update project current project file folder management root project 
kind/enhancement,Add status for machines in workspace runtime Description status each machine workspace runtime section Reproduction Steps version Diagnostics 
kind/task,Update the ConvertToProjectWithPomFileTest selenium test Description need update ConvertToProjectWithPomFileTest selenium test cover case from 4376 checking that after changing artifactId file name Editor changed 
kind/question,Can we have a prettier image name for Che pod on OCP Description have random name image whereas other containers created from images with pretty names hard figure what container from docker output does Probably related image streams feature sure whether improve that Reproduction Steps version Diagnostics 
kind/question,Consider a way to warn users about outdated che env file entries configured by a user Description Since changes happens that some environment variables file outdated doesn work anymore user doesn know about such changes confused that something stopped work Sometimes tricky even realize that some setting stopped work provide better some mechanism that warns user about outdates settings provide link where change described possible solution have file that contains outdated keys message user this found Then developer that shines down setting adds entry this file points other resource with description outdated migrate Reproduction Steps version Diagnostics 
kind/task,Remove code added in beta of Che5 for compatibility of workspace configuration to Che4 Description Here have classes needed Che5 compatibility workspace config Che4 added before Che5 seems needed anymore since workspaces Che4 more Reproduction Steps version Diagnostics 
kind/task,Create a list of use cases for Che API stress testing Description need stress test different areas check high load Previously stress tested Workspace start stop workflow these operations very heavy hard threads with workspace starts machine need cases that cover different APIs workflows them with different load parameters depending heaviness operations heaviness operations greatly impacts stress tests flow since same test login workspace start operations Reproduction Steps version Diagnostics 
kind/task,Remove properties and env vars with triggers that are not used in Che6 anymore Description Che6 have rewritten code haven removed properties that longer This lead situation when user configures something that work contacts support chats figure what wrong need cleanup properties template docs regarding those properties Reproduction Steps version Diagnostics 
kind/task,Add ability to create OpenShift specific selenium tests of Eclipse Che Description Provide Openshift type level annotation mark OpenShift specific selenium test classes openshift parameter webdriver include such tests into test execution Docker specific selenium tests will executed default This issue implementation requests 7761 7669 version Eclipse 
kind/task,add rh che team to whitelist on CI team whitelist 
kind/task,Create test user at start of selenium tests execution on Eclipse Che Multi User Description need have ability create test user Eclipse Multi User setup Keycloak server automatically start execution selenium tests creation test user done build script hard support number jobs Also test user usually being created manually through Keycloak admin console when someone starting selenium tests locally version Eclipse Multi User 
